smiles,theavy-atom,chiral-center,Rings,Aromatic-Rings,Rotatable-Bonds,Fsp3
CCOC(=O)C=Cc1c(C)nc2c(C#N)cnn2c1N1CCN(C)CC1,26,0,3,2,4,0.4444444444444444
Cc1cc(=O)oc2cc3oc(=N)c(CCN)cc3cc12,20,0,3,3,2,0.2
CC(=O)c1ccc2c(c1)c(=N)c1c(N3CCNCC3)ncnc1n2C,25,0,4,3,2,0.3333333333333333
CCOC(=O)c1cc2c(=N)n3c(C)nn(CCN(C)C)c3nc2n(Cc2ccc(F)cc2)c1=N,34,0,4,4,7,0.34782608695652173
CS(=O)(=O)c1ccc2[nH]c(=N)cc(-c3cnc4cnc(N5CCNCC5)cc4c3)c2c1,31,0,5,4,3,0.22727272727272727
COC(=O)c1ccc2[nH]c(=N)c3cc(-c4cccnc4CN)c(=N)oc3c2c1,28,0,4,4,3,0.1
CCOC(=O)c1cc2c(=O)c3c(=O)c4ccccc4oc3n(CCCN(C)C)c2n(CC)c1=N,34,0,4,4,7,0.36
Cc1ccc(C)c(NC(=O)c2cc3c(N4CCN(C)CC4)ncnc3n(C)c2=N)c1,30,0,4,3,3,0.36363636363636365
CCOC(=O)c1cc2c(=N)n3c(=O)c4cc(OC)c(OC)cc4nc3n(CCN(CC)CC)c2n(CC)c1=N,39,0,4,4,10,0.4444444444444444
CN(C)CCCn1c2ccc(F)cc2c(=N)c2cc3c(=N)n(C)c(=S)n(C)c3nc21,30,0,4,4,4,0.3333333333333333
N=c1c2cc(-c3cccnc3)ccc2n2c(N3CCNCC3)nnc2n1CCN1CCCC1,33,0,6,4,5,0.4166666666666667
Cn1c(N2CCNCC2)nc2c(c(=O)c3cc(C(=O)O)ccc3n2C)c1=N,27,0,4,3,2,0.3333333333333333
N=c1c2ccc(C(N)=O)cc2oc2ncnc(NCCN)c12,22,0,3,3,4,0.14285714285714285
CN(C)CCn1c2ccc(C(=O)O)cc2c(=N)c2c(=N)n(-c3ccccc3)c(N3CCN(C)CC3)nc21,37,0,5,4,6,0.3333333333333333
CN(C)CCCn1c(=N)c2ccc(S(C)(=O)=O)cc2n(-c2ccccc2)c1=N,28,0,3,3,6,0.3
CCOC(=O)c1cc2c3c(=N)n4ccccc4nc3n(CCN(C)C)c(=N)c2n(C)c1=N,32,0,4,4,5,0.3181818181818182
CCOC(=O)c1ccn2c(=N)c3c(=N)[nH]c(N4CCN(CC(F)(F)F)CC4)nc3nc2c1,32,0,4,3,4,0.42105263157894735
CCOC(=O)c1cc2c3ncnc(NCCN4CCOCC4)c3c(=N)n(C)c2n(C)c1=N,32,0,4,3,6,0.47619047619047616
CCOC(=O)c1cc2c(oc1=N)c(=N)oc1nc(N3CCNCC3)ccc12,27,0,4,3,3,0.3333333333333333
Cc1nccc2c1cc1c(=N)c3cnn(CCN4CCCCC4)c3nc-1n2C,28,0,5,2,3,0.42857142857142855
Cn1c(=N)n(CCN2CCOCC2)c(=N)c2cc3cc4ccccc4nc3nc21,29,0,5,4,3,0.3333333333333333
CN1CCN(c2nc3cc4c(cc(C(=O)O)c(=O)n4C4CC4)cc3c(=N)[nH]2)CC1,29,0,5,3,3,0.4
CCOC(=O)c1ccc2nc3c(cnc(=N)n3CCCN(C)C)c(=N)n2c1,27,0,3,3,6,0.3888888888888889
Cc1ccc(Cn2c(=N)c3cc4cccnc4nc3n(CCN)c2=N)cc1,27,0,4,4,4,0.2
N=c1oc2ncnc(N3CCNCC3)c2cc1-c1ccc2ncccc2c1,27,0,5,4,2,0.2
CN(C)CCCn1c2ccc(C(=O)Nc3ccccc3)cc2c(=N)c2cc3ccccc3nc21,34,0,5,5,6,0.17857142857142858
CN1CCN(c2nc3cc4ncn(CCN5CCOCC5)c(=N)c4cc3c(=N)[nH]2)CC1,31,0,5,3,4,0.5238095238095238
CC(=O)c1ccc2c(c1)c(=N)n(CCN)c1nc3cnccc3c(=N)n21,26,0,4,4,3,0.16666666666666666
N=c1c2ccc(C(=O)O)cc2oc2ncnc(N3CCNCC3)c12,24,0,4,3,2,0.25
CN(C)CCCn1c(=N)n(CCCN2CCN(c3ccc(C(F)(F)F)cc3)CC2)c(=N)c2nc3ccccc3nc21,41,0,5,4,9,0.4482758620689655
CCOC(=O)c1ccc2nc3c(cnn3CCN3CCCCC3)c(=O)n2c1,27,0,4,3,5,0.47368421052631576
COC(=O)c1cc2c(=N)c3cc(-c4ccccn4)ccc3n(C)c2n(CCN(C)C)c1=N,32,0,4,4,5,0.25
COC(=O)c1ccc2c(c1)c(=O)c1c(=N)n(CCN(C)C)cnc1n2C1CC1,28,0,4,3,5,0.4
COC(=O)c1ccc2c(c1)c(=N)c1c(=N)n3c(nc1n2CCCN(C)C)CCC3,29,0,4,3,5,0.42857142857142855
N=c1[nH]cnc2cc3ncn(CCCN4CCC(F)(F)CC4)c(=N)c3cc12,27,0,4,3,4,0.4444444444444444
Cn1c(=O)c2c3nc4c(cc(=O)n3c1=O)c(=N)n(c(=N)n4CCCN1CCOCC1)CC(c1ccccc1)=CC=NC=C2,43,0,7,4,5,0.3
CN(C)CCCNC(=O)c1ccc2c(c1)c(=N)c1c(N3CCCC3)ncnc1n2C1CC1,32,0,5,3,7,0.5
Cn1c(=N)c2cc(C(=O)O)c(=N)n(C)c2c2c(N3CCNCC3)nc(N3CCOCC3)nc21,33,0,5,3,3,0.47619047619047616
CCOC(=O)c1cc2c(N3CCNCC3)nc(N3CCNCC3)nc2n(CC)c1=N,30,0,4,2,5,0.6
CN(C)CCNc1ncnc2oc3ccc(C(=O)O)cc3c(=N)c12,24,0,3,3,5,0.25
N=c1c2cc3oc(=O)[nH]c3cc2nc2n1CCNCC2,20,0,4,3,0,0.3076923076923077
N=c1c2cc3ccccc3nc2n(CCN2CCOCC2)c(=N)n1CCN1CCOCC1,32,0,5,3,6,0.5217391304347826
Cn1c(=N)c2cc3c(=N)[nH]c(=O)n(CCN4CCCC4)c3nc2n(CCN2CCCCC2)c1=N,34,0,5,3,6,0.6086956521739131
CN1CCN(c2ncnc3c2c(=O)c2cc(C(=O)NCc4ccc(F)cc4)c(=N)n(C)c2n3C2CC2)CC1,38,0,6,4,5,0.37037037037037035
N=c1c2cc(C(N)=O)ccc2n(CCN2CCCC2)c2cc(C(F)(F)F)ncc12,29,0,4,3,4,0.35
Cc1cc(=O)oc2cc3oc(=N)c(C#N)c(NCCN)c3cc12,23,0,3,3,3,0.1875
CS(=O)(=O)c1ccc2[nH]c(=N)c3ccc(NCCN4CCCC4)nc3c2c1,27,0,4,3,5,0.3684210526315789
CN(C)CCCn1c2ccc(S(=O)(=O)N3CCCCC3)cc2c(=O)c2c(=N)n3ccccc3nc21,35,0,5,4,6,0.4
CCOC(=O)c1cc2c(=N)n(CCN3CCOCC3)c3nc(C)ccc3c2n(CC)c1=N,32,0,4,3,6,0.4782608695652174
CS(=O)(=O)c1ccc2c(=N)c3c(N4CCNCC4)nc4ccccc4c3oc2c1,29,0,5,4,2,0.23809523809523808
N=c1c2cnc(C(=O)NCCN3CCOCC3)cc2n(CCN2CCOCC2)c(=N)n1-c1ccccc1,37,0,5,3,8,0.46153846153846156
N=c1c(C(=O)c2ccc(F)nc2)cc2c(=N)n3ccccc3nc2n1CCN1CCCCC1,33,0,5,4,5,0.2916666666666667
N=c1c2cc3c(cc2n(CCN2CCCC2)c2ncn(CCN4CCCC4)c(=N)c12)CCCC3,34,0,6,3,6,0.5925925925925926
CN(C)CCNc1ncnc2cc3oc(-c4cccnc4)cc(=N)c3cc12,27,0,4,4,5,0.2
CCn1c(=N)n(CCN2CCOCC2)c(=N)c2cc3cc(F)ccc3nc21,27,0,4,3,4,0.42105263157894735
N=c1c2c3ccsc3c(=N)n(CCCN)c2ncn1-c1ccccc1,25,0,4,4,4,0.16666666666666666
CN(C)CCn1c(=N)n2ccnc2c2cc3c(=O)n(C)c(=O)n(C)c3cc21,27,0,4,4,3,0.3333333333333333
CCOC(=O)c1cnn2c(=N)c3cc4cc(C(=O)OC)ccc4n(CCN4CCCCC4)c3nc12,35,0,5,4,6,0.4
CN(C)CCCNC(=O)c1cc2cnc(N3CCN(C)CC3)nc2n(C2CC2)c1=N,30,0,4,2,7,0.6190476190476191
CN(C)CCNc1ccc2cc3[nH]c(=N)[nH]c(=N)c3cc2n1,22,0,3,3,4,0.26666666666666666
Cc1cc(=O)oc2cc3c(=N)[nH]c(N4CCN(C)CC4)nc3cc12,24,0,4,3,1,0.35294117647058826
Cn1c(N2CCN(c3ccccn3)CC2)nc2ccc(S(C)(=O)=O)cc2c1=N,28,0,4,3,3,0.3157894736842105
Cn1c(=N)c2cc(C(N)=O)c(=N)n(C)c2c2c(N3CCNCC3)ncnc21,27,0,4,3,2,0.35294117647058826
CCN(CC)CCCn1c2ccc(C(=O)OC)cc2c(=N)c2cc3c(cc21)n(C)c(=N)n3CCN(CC)CC,39,0,4,4,12,0.5
CCN(CC)CCNc1nc(C)nc2c1c(=N)n(C)c1c2ccc(=O)n1C,27,0,3,3,6,0.47368421052631576
CCn1c(=N)n(CCN(C)C)c(=N)c2cc3c(cc21)c(=N)n(CCN(C)C)c(=N)n3CCN(C)C,35,0,3,3,10,0.5833333333333334
N=c1c2c(=N)n3cc(C(N)=O)ccc3nc2ncn1CCN1CCCC1,26,0,4,3,4,0.35294117647058826
N=c1[nH]c(N2CCNCC2)nc2oc3cc(F)ccc3c(=O)c12,23,0,4,3,1,0.26666666666666666
Cn1c(=N)c2cc3c(=N)n(-c4ccccc4)c(SCCN)nc3nc2n(C)c1=O,29,0,4,4,4,0.21052631578947367
COC(=O)c1ccc2c(c1)c(=N)c1cccnc1n2CCN(C)C,24,0,3,3,4,0.2777777777777778
Cn1c(=N)c2c(=N)c3cc(S(C)(=O)=O)ccc3oc2n(CCCN2CCOCC2)c1=N,31,0,4,3,5,0.45
CN(CCN1CCCCC1)c1nc2nc3c(cc2c(=N)n1C)c(=N)n(C)c(=O)n3C,30,0,4,3,4,0.55
COC(=O)c1ccc2c(c1)c(=N)c1cccnc1n2CCCN(C)C,25,0,3,3,5,0.3157894736842105
N=c1ccc2c3nc(N4CCNCC4)ncc3c(=N)n(CC(F)(F)F)c2n1CCN,30,0,4,3,4,0.4444444444444444
CCOC(=O)c1cc2c(=N)n3cc(C(=O)OC)ccc3nc2n(CCCN(C)C)c1=N,31,0,3,3,7,0.38095238095238093
N=c1c2cc3ccc(C(=O)O)cc3nc2n(CCN2CCOCC2)c(=O)n1Cc1ccc2ccccc2n1,38,0,6,5,6,0.25
CCn1c2ccc(C(C)=O)cc2c(=O)c2c(=N)n(CCN3CCOCC3)cnc21,29,0,4,3,5,0.42857142857142855
COC(=O)c1ccc2c(c1)c(=O)c1c(=N)n3c(nc1n2C)CCC3CN(C)C,28,1,4,3,3,0.4
N=c1c(C(=O)NC2CCCCC2)cc2c(=N)n3ccccc3nc2n1CCCN,29,0,4,3,5,0.42857142857142855
Cn1ccc(=N)c2cc3c(=N)n(CCCN4CCOCC4)c(=N)n(CCN4CCOCC4)c3nc21,35,0,5,3,7,0.5833333333333334
COC(=O)c1cc2c(=N)c3c(N4CCN(C)CC4)ncnc3oc2cc1Cl,27,0,4,3,2,0.3333333333333333
CN(C)CCn1cnc2cc3c(=O)c4ccc(=O)oc4oc3cc2c1=N,26,0,4,4,3,0.2222222222222222
CCOC(=O)c1cc2cc3c(=N)n(CCN(CC)CC)c(N(CC)CC)nc3nc2n(CC)c1=N,35,0,3,3,11,0.56
CN(C)CCCn1c2ncccc2c(=N)c2c(=N)c3cc(Cl)ccc3oc21,27,0,4,4,4,0.25
Cn1c2nc(N3CCNCC3)n(Cc3ccc(Cl)cc3)c(=N)c2c(=O)c2ccc(=O)[nH]c21,32,0,5,4,3,0.2727272727272727
Cc1ccc2nc3c(cc2c1)c(=N)c1c(=N)n(CCN2CCCC2)cnc1n3CCN1CCCCC1,36,0,6,4,6,0.5
CCn1c2ccc(C(=O)OC)cc2c(=N)c2c(NCCN(C)C)ncnc21,27,0,3,3,6,0.3684210526315789
N=c1c2ccc(F)cc2oc2nc(N3CCNCC3)ccc12,22,0,4,3,1,0.25
CN(C)CCn1cnc2c(c1=N)c1ccc(C(=O)Nc3ccc(F)cc3)cc1c(=N)n2CCCO,35,0,4,4,8,0.28
Cc1c(C(N)=O)c(=N)n(C)c2c1c(=N)n(CCN(C)C)c1ncccc21,26,0,3,3,4,0.3333333333333333
Cc1ccc(NC(=O)c2ccc3c(c2)c(=O)c2cc(N4CCN(C)CC4)c(C)nc2n3C)cc1,34,0,5,4,3,0.2962962962962963
Cc1cccnc1NC(=O)c1ccc2c(c1)c(=N)c1ccc(N3CCNCC3)nc1n2C,32,0,5,4,3,0.25
Cc1cccn2c(=O)c3c(=N)n(Cc4ccccc4)c(=O)n(CCCN4CCCCC4)c3nc12,34,0,5,4,6,0.38461538461538464
CN(C)CCCn1cc(-c2ccc3ncccc3c2)c(=N)c2ccc(C(F)(F)F)nc21,31,0,4,4,5,0.2608695652173913
CSc1nc2nc3c(cc2c(=N)n1-c1ccccc1)c(=N)n(CCN1CCOCC1)c(=N)n3C,34,0,5,4,5,0.34782608695652173
CCn1c(=NCc2ccc(Cl)cc2)c(C(N)=O)cc2cnc(N3CCNCC3)nc21,30,0,4,3,5,0.3333333333333333
CC(C)n1c(N2CCN(C)CC2)nc2c(c1=N)c1c([nH]c(=O)c(=N)n1C)c(=N)n2C,30,0,4,3,2,0.5263157894736842
CS(=O)(=O)c1ccc2nc(NCCN3CCCCC3)n3c(=N)cc(C(F)(F)F)nc3c2c1,32,0,4,3,5,0.45
N#Cc1cnc2[nH]c(=NC(=O)c3cc(C(F)(F)F)cc(S(=O)(=O)N4CCCCC4)c3)[nH]c(=N)c2c1,35,0,4,3,3,0.2857142857142857
COC(=O)c1ccc2c(c1)c(=O)c1c3ccccc3oc1n2CCN(C)C,27,0,4,4,4,0.23809523809523808
Cc1nc2cc(S(=O)(=O)N3CCCCC3)ccc2c(=N)n1CCN1CCOCC1,29,0,4,2,5,0.6
CCOC(=O)c1cc(C(=O)OCC)c2nc3ccc(OCCN(C)C)cc3c(=N)n2c1,31,0,3,3,8,0.36363636363636365
CCn1c2cc3nc(C)oc3cc2c(=N)c2c3c(c(N4CCN(C)CC4)nc21)CCCC3,32,0,6,4,2,0.48
CN(C)CCCn1c2cc(C(=O)O)ccc2c(=N)c2cc(C(F)(F)F)cnc21,28,0,3,3,5,0.3157894736842105
CCN(CC)CCNC(=O)c1ccc2c(c1)c(=N)c1c(=N)n3c(nc1n2CC)CCC3,31,0,4,3,7,0.4782608695652174
CN(C)CCNc1cnc2oc3occc(=N)c3c(=O)c2c1,22,0,3,3,4,0.26666666666666666
Cn1c(=N)c(-c2ccncc2)cc2c(N3CCNCC3)nc(N3CCOCC3)nc21,30,0,5,3,3,0.42857142857142855
CN(C)CCCn1ccc(=N)c2cc3ccc(C(=O)O)cc3nc21,24,0,3,3,5,0.2777777777777778
CN(C)CCn1ccc(=N)c2cc3c(=N)n4c(nc3cc21)CCCC4,25,0,4,3,3,0.42105263157894735
COC(=O)c1ccc2c(=N)c3c(N4CCN(C)CC4)ncnc3oc2c1,26,0,4,3,2,0.3333333333333333
Cc1ccccc1-c1ccc2c(c1)c(=N)c1cc3ccccc3nc1n2CCCN,30,0,5,5,4,0.15384615384615385
CN(C)CCn1c2cc3ccccc3cc2c(=N)c2cc3c(=N)n(CCN)cnc3nc21,32,0,5,5,5,0.25
CN(C)CCCn1c(=O)c(-c2cc[nH]c(=O)c2)cc2c(=N)n(CCN(C)C)cnc21,30,0,3,3,8,0.42857142857142855
N=c1c2c(=O)n(CCN3CCCC3)cnc2ncn1Cc1ccc(F)cc1,27,0,4,3,5,0.3684210526315789
N=c1c(C(=O)O)cc2cc3ncccc3nc2n1CCCN1CCC(F)(F)CC1,29,0,4,3,5,0.4
COc1ccc(-n2c(SCCN3CCCCC3)nc3c(c(=N)c4cc(C(=O)O)ccc4n3C)c2=N)cc1,37,0,5,4,7,0.3333333333333333
COC(=O)c1ccc2nc3c(cc(C#N)c(=N)n3CCN3CCCCC3)c(=N)n2c1,30,0,4,3,4,0.38095238095238093
CCOC(=O)c1ccc2nc3nc(N4CCN(C)CC4)n(CCN(CC)CC)c(=N)c3c(=N)n2c1,35,0,4,3,8,0.5416666666666666
CCCN1CCN(c2nc3cc4c(=N)n(C)c(=O)n(C)c4cc3c(=N)[nH]2)CC1,28,0,4,3,3,0.47368421052631576
N=c1c2cc(F)ccc2nc2n(CCN3CCCC3)c3ncccc3c(=N)n12,28,0,5,4,3,0.3
CCOC(=O)c1cn2c(=N)c(C#N)c(NCCN(C)C)nc2n(C)c1=N,26,0,2,2,6,0.4375
NCCn1c2ccc(C(=O)c3ccccc3)cc2c2c(N3CCNCC3)ncnc21,30,0,5,4,5,0.2608695652173913
CN(C)c1nc(N2CCNCC2)c2cc3oc4ccc(O)cc4c(=N)c3cc2n1,29,0,5,4,2,0.2857142857142857
COC(=O)c1ccc2c(=N)c3c(N4CCNCC4)ncnc3oc2c1,25,0,4,3,2,0.29411764705882354
CCn1c(C(=O)c2ccccc2)cc2c(=N)n(CCN3CCOCC3)cnc21,28,0,4,3,6,0.38095238095238093
COc1ccc(Cn2cnc3c(c(=O)c4cc(C(=O)O)ccc4n3CCN3CCOCC3)c2=N)cc1,36,0,5,4,7,0.3076923076923077
Cc1cc(=O)oc2cc3c(cc12)c1cccnc1c(=N)n3CCN1CCCCC1,29,0,5,4,3,0.34782608695652173
CCn1c2ccc(C(C)=O)cc2c(=O)c2c(N3CCNCC3)nc(N3CCNCC3)nc21,32,0,5,3,4,0.4782608695652174
N=c1c2cc(-c3ccncc3)ccc2ncn1CCCN1CCCCC1,26,0,4,3,5,0.38095238095238093
CCOC(=O)c1ccn2c(=N)c3c(N4CCNCC4)ncnc3nc2c1,26,0,4,3,3,0.35294117647058826
CC(=O)c1ccc2c(=N)c3c(NCCN(C)C)ncnc3n(C)c2c1,25,0,3,3,5,0.3333333333333333
CN(C)CCCn1c2ncc(C(F)(F)F)cc2c(=O)c2cc3ccc(=O)n(C)c3nc21,31,0,4,4,4,0.3333333333333333
CS(=O)(=O)c1ccc2c(c1)c(=O)c1cc(F)cnc1n2CCCN1CCOCC1,29,0,4,3,5,0.4
N=c1[nH]c2cc(C(N)=O)ccc2c2cc(-c3cccnc3N3CCNCC3)ccc12,30,0,5,4,3,0.17391304347826086
CCn1c(=N)c2c(N3CCN(c4ccc(F)cc4)CC3)nc(N3CCN(C)CC3)nc2n(CC)c1=N,36,0,5,3,5,0.52
Cc1nc(N2CCN(C)CC2)c2c(=N)[nH]c3ccc(S(C)(=O)=O)cc3c2n1,27,0,4,3,2,0.3888888888888889
CN(C)CCn1cnc(=N)c2cc3cc(C(N)=O)c(=N)n(C4CC4)c3nc21,27,0,4,3,5,0.3888888888888889
CN(C)CCn1c2ccccc2c(=O)c2cc3c(cc(C(=O)O)c(=N)n3CCF)cc21,31,0,4,4,6,0.2608695652173913
N=c1c2cc3c(cc2n(CCN)c2ncnc(N4CCNCC4)c12)OCO3,27,0,5,3,3,0.3888888888888889
N=c1[nH]c2cc3oc(N4CCCCC4)cc(=O)c3cc2c(=N)n1CCN1CCCCC1,31,0,5,3,4,0.5217391304347826
CCOC(=O)c1ccc2nc3c(c(=N)ncn3CCN3CCCCC3)c(=N)n2c1,29,0,4,3,5,0.45
CN(C)CCNc1ncnc2oc(-c3ccncc3)cc(=N)c12,23,0,3,3,5,0.25
CN(C)CCCn1c(=N)c(C(=O)c2ccccc2)cc2c(=N)n3ccccc3nc21,30,0,4,4,6,0.21739130434782608
CCn1c2ccc(C(=O)O)cc2c(=O)c2c(=N)n(CCCN(C)C)cnc21,27,0,3,3,6,0.3684210526315789
Cn1c(=O)c2cc3c(=N)n(CCN)c(=N)n(CCN)c3nc2n(C)c1=O,26,0,3,3,4,0.4
N=c1c2ccc(C(=O)O)cc2n(CC(F)(F)F)c2nc(NCCN)ncc12,27,0,3,3,5,0.25
N=c1c2cc3[nH]c(=O)ccc3cc2cnn1CCN1CCCCC1,24,0,4,3,3,0.3888888888888889
CN1CCC(NC(=O)c2ccc(-n3c(=N)c4ccc(-c5ccc(C(F)(F)F)cc5)nc4n(CCN4CCOCC4)c3=N)cc2)CC1,46,0,6,4,7,0.3939393939393939
CN(C)CCn1c(=N)c2cc3c4c(c(=O)n(C)c(=O)n4C)c(=N)n(CCN(C)C)c3nc2n(Cc2ccccc2)c1=O,42,0,5,5,8,0.3793103448275862
Cn1c(=N)c2c(=N)n(-c3ccccc3)c(=N)n(CCN3CCOCC3)c2c2ccc3ccccc3c21,36,0,6,5,4,0.25
N=c1c2ccc(=O)[nH]c2[nH]c2c1cc(C(F)(F)F)c(=N)n2CCN1CCCCC1,29,0,4,3,3,0.42105263157894735
CN(C)CCn1cnc2cc3oc4ccc(C(=O)O)cc4c(=N)c3cc21,26,0,4,4,4,0.21052631578947367
CCOC(=O)c1cc2cc3c(=N)n(C)c(=O)n(CCCN(C)C)c3nc2n(C)c1=N,30,0,3,3,6,0.45
Cn1c2ccc(S(=O)(=O)c3ccc(F)cc3)cc2c(=N)c2c(N3CCNCC3)ncnc21,32,0,5,4,3,0.22727272727272727
CCOC(=O)c1ccc2c(c1)c(=O)c1c(=N)n(CCN(C)C)cnc1n2CC,28,0,3,3,6,0.4
CN(C)CCn1c(=N)[nH]c(=N)c2cc3nc(N4CCN(C)CC4)ccc3cc21,28,0,4,3,4,0.45
N=c1[nH]c2cnc(N3CCNCC3)cc2c2[nH]c3c(c12)CCCC3,24,0,5,3,1,0.4444444444444444
Cn1c2cc(F)ccc2c(=O)c2c(=N)n(CC(=O)N3CCCCC3)cnc21,27,0,4,3,2,0.3684210526315789
CN1CCN(c2ncnc3c2c(=N)n(CCCN2CCOCC2)c2ccc(C(=O)O)cc32)CC1,34,0,5,3,6,0.5
CN(C)CCn1c2cnccc2c(=N)c2cc3ccc(=O)oc3cc21,25,0,4,4,3,0.21052631578947367
CCN(CC)CCCn1c2ccc(S(=O)(=O)N(CC)CC)cc2c(=N)c2cnc(-c3ccco3)nc21,36,0,4,4,11,0.4230769230769231
Cn1c(=N)c(C(N)=O)cc2cc3c(=N)oc(N4CCNCC4)nc3nc21,26,0,4,3,2,0.3125
N=c1c2ccccc2n(CCN2CCCC2)c2nc(N3CCNCC3)n(Cc3ccccc3)c(=N)c12,36,0,6,4,6,0.39285714285714285
N=c1c2cc(C(=O)c3ccc(C(F)(F)F)cc3)ccc2ncn1CCN1CCCC1,30,0,4,3,5,0.3181818181818182
CN(C)CCCn1c(=N)c(C(=N)N)cc2cc3ccccc3nc21,24,0,3,3,5,0.2777777777777778
CN(C)CCCn1c2ccc(S(=O)(=O)N3CCCCC3)cc2c2c(=N)n(CCN(C)C)cnc21,34,0,4,3,9,0.5833333333333334
CN(C)CCn1c(=N)n(C)c(=N)c2cc3[nH]c4ccccc4c(=N)c3cc21,27,0,4,4,3,0.25
