idx,strain_energy
O14757_Pocket2Mol_idx-in-all-generaetd-44,297.2
O14757_Pocket2Mol_idx-in-all-generaetd-45,614.4000000000001
O14757_Pocket2Mol_idx-in-all-generaetd-46,722.95
O14757_Pocket2Mol_idx-in-all-generaetd-47,3997.43
O14757_Pocket2Mol_idx-in-all-generaetd-48,983.0
O14757_Pocket2Mol_idx-in-all-generaetd-49,300.22
O14757_Pocket2Mol_idx-in-all-generaetd-50,912.5
O14757_Pocket2Mol_idx-in-all-generaetd-51,713.3100000000001
O14757_Pocket2Mol_idx-in-all-generaetd-52,293.79
O14757_Pocket2Mol_idx-in-all-generaetd-53,775.02
O14757_Pocket2Mol_idx-in-all-generaetd-54,3869.67
O14757_Pocket2Mol_idx-in-all-generaetd-55,460.79999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-56,813.17
O14757_Pocket2Mol_idx-in-all-generaetd-57,683.16
O14757_Pocket2Mol_idx-in-all-generaetd-58,
O14757_Pocket2Mol_idx-in-all-generaetd-59,538.7
O14757_Pocket2Mol_idx-in-all-generaetd-60,600.93
O14757_Pocket2Mol_idx-in-all-generaetd-61,404.03999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-62,741.1199999999999
O14757_Pocket2Mol_idx-in-all-generaetd-63,673.32
O14757_Pocket2Mol_idx-in-all-generaetd-64,6850.2699999999995
O14757_Pocket2Mol_idx-in-all-generaetd-65,1170.1000000000001
O14757_Pocket2Mol_idx-in-all-generaetd-66,1271.17
O14757_Pocket2Mol_idx-in-all-generaetd-67,826.82
O14757_Pocket2Mol_idx-in-all-generaetd-68,758.2700000000001
O14757_Pocket2Mol_idx-in-all-generaetd-69,307.41999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-70,646.94
O14757_Pocket2Mol_idx-in-all-generaetd-71,217.98999999999998
O14757_Pocket2Mol_idx-in-all-generaetd-72,347.12
O14757_Pocket2Mol_idx-in-all-generaetd-73,6689.3099999999995
O14757_Pocket2Mol_idx-in-all-generaetd-74,242.17000000000002
O14757_Pocket2Mol_idx-in-all-generaetd-75,724.48
O14757_Pocket2Mol_idx-in-all-generaetd-76,483.84
O14757_Pocket2Mol_idx-in-all-generaetd-77,454.19000000000005
O14757_Pocket2Mol_idx-in-all-generaetd-78,572.03
O14757_Pocket2Mol_idx-in-all-generaetd-79,846.97
O14757_Pocket2Mol_idx-in-all-generaetd-80,252.6
O14757_Pocket2Mol_idx-in-all-generaetd-81,676.25
O14757_Pocket2Mol_idx-in-all-generaetd-82,353.21
O14757_Pocket2Mol_idx-in-all-generaetd-83,877.65
O14757_Pocket2Mol_idx-in-all-generaetd-84,1054.0600000000002
O14757_Pocket2Mol_idx-in-all-generaetd-85,600.3900000000001
O14757_Pocket2Mol_idx-in-all-generaetd-86,459.07000000000005
O14757_Pocket2Mol_idx-in-all-generaetd-87,301.39
O14757_Pocket2Mol_idx-in-all-generaetd-88,2734.4199999999996
O14757_Pocket2Mol_idx-in-all-generaetd-89,594.3299999999999
O14757_Pocket2Mol_idx-in-all-generaetd-90,508.25
O14757_Pocket2Mol_idx-in-all-generaetd-91,1180.4199999999998
O14757_Pocket2Mol_idx-in-all-generaetd-92,583.3399999999999
O14757_Pocket2Mol_idx-in-all-generaetd-93,469.5400000000001
O14757_Pocket2Mol_idx-in-all-generaetd-94,543.17
O14757_Pocket2Mol_idx-in-all-generaetd-95,170.60999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-96,466.01000000000005
O14757_Pocket2Mol_idx-in-all-generaetd-97,368.52000000000004
O14757_Pocket2Mol_idx-in-all-generaetd-98,1147.6599999999999
O14757_Pocket2Mol_idx-in-all-generaetd-99,830.47
O14757_Pocket2Mol_idx-in-all-generaetd-100,237.22
O14757_Pocket2Mol_idx-in-all-generaetd-101,611.95
O14757_Pocket2Mol_idx-in-all-generaetd-102,780.96
O14757_Pocket2Mol_idx-in-all-generaetd-103,324.80999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-104,740.9000000000001
O14757_Pocket2Mol_idx-in-all-generaetd-105,1096.99
O14757_Pocket2Mol_idx-in-all-generaetd-106,1458.82
O14757_Pocket2Mol_idx-in-all-generaetd-107,227.42999999999998
O14757_Pocket2Mol_idx-in-all-generaetd-108,665.54
O14757_Pocket2Mol_idx-in-all-generaetd-109,494.92999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-110,1373.27
O14757_Pocket2Mol_idx-in-all-generaetd-111,326.88
O14757_Pocket2Mol_idx-in-all-generaetd-112,700.0600000000001
O14757_Pocket2Mol_idx-in-all-generaetd-113,1148.8400000000001
O14757_Pocket2Mol_idx-in-all-generaetd-114,657.11
O14757_Pocket2Mol_idx-in-all-generaetd-115,706.15
O14757_Pocket2Mol_idx-in-all-generaetd-116,216.11999999999998
O14757_Pocket2Mol_idx-in-all-generaetd-117,1476.78
O14757_Pocket2Mol_idx-in-all-generaetd-118,753.3500000000001
O14757_Pocket2Mol_idx-in-all-generaetd-119,903.6
O14757_Pocket2Mol_idx-in-all-generaetd-120,1825.89
O14757_Pocket2Mol_idx-in-all-generaetd-121,797.18
O14757_Pocket2Mol_idx-in-all-generaetd-122,363.46
O14757_Pocket2Mol_idx-in-all-generaetd-123,1204.24
O14757_Pocket2Mol_idx-in-all-generaetd-124,428.09999999999997
O14757_Pocket2Mol_idx-in-all-generaetd-125,531.63
O14757_Pocket2Mol_idx-in-all-generaetd-126,375.11
O14757_Pocket2Mol_idx-in-all-generaetd-127,665.09
O14757_Pocket2Mol_idx-in-all-generaetd-128,318.85
O14757_Pocket2Mol_idx-in-all-generaetd-129,634.23
O14757_Pocket2Mol_idx-in-all-generaetd-130,284.41
O14757_Pocket2Mol_idx-in-all-generaetd-131,266.9
O14757_Pocket2Mol_idx-in-all-generaetd-132,1210.5900000000001
O14757_Pocket2Mol_idx-in-all-generaetd-133,351.09000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-134,3937.6899999999996
O14757_Pocket2Mol_idx-in-all-generaetd-135,3912.94
O14757_Pocket2Mol_idx-in-all-generaetd-136,382.97999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-137,345.24
O14757_Pocket2Mol_idx-in-all-generaetd-138,846.09
O14757_Pocket2Mol_idx-in-all-generaetd-139,753.53
O14757_Pocket2Mol_idx-in-all-generaetd-140,3846.91
O14757_Pocket2Mol_idx-in-all-generaetd-141,769.58
O14757_Pocket2Mol_idx-in-all-generaetd-142,815.61
O14757_Pocket2Mol_idx-in-all-generaetd-143,896.9100000000001
O14757_Pocket2Mol_idx-in-all-generaetd-144,491.21999999999997
O14757_Pocket2Mol_idx-in-all-generaetd-145,794.0899999999999
O14757_Pocket2Mol_idx-in-all-generaetd-146,256.26
O14757_Pocket2Mol_idx-in-all-generaetd-147,140.43
O14757_Pocket2Mol_idx-in-all-generaetd-148,579.0600000000001
O14757_Pocket2Mol_idx-in-all-generaetd-149,463.08000000000004
O14757_Pocket2Mol_idx-in-all-generaetd-150,809.57
O14757_Pocket2Mol_idx-in-all-generaetd-151,1240.1599999999999
O14757_Pocket2Mol_idx-in-all-generaetd-152,457.88
O14757_Pocket2Mol_idx-in-all-generaetd-153,1161.3200000000002
O14757_Pocket2Mol_idx-in-all-generaetd-154,265.69
O14757_Pocket2Mol_idx-in-all-generaetd-155,728.8299999999999
O14757_Pocket2Mol_idx-in-all-generaetd-156,251.29
O14757_Pocket2Mol_idx-in-all-generaetd-157,
O14757_Pocket2Mol_idx-in-all-generaetd-158,442.27000000000004
O14757_Pocket2Mol_idx-in-all-generaetd-159,757.12
O14757_Pocket2Mol_idx-in-all-generaetd-160,11232.310000000001
O14757_Pocket2Mol_idx-in-all-generaetd-161,353.37
O14757_Pocket2Mol_idx-in-all-generaetd-162,1166.39
O14757_Pocket2Mol_idx-in-all-generaetd-163,382.88
O14757_Pocket2Mol_idx-in-all-generaetd-164,1119.1599999999999
O14757_Pocket2Mol_idx-in-all-generaetd-165,642.88
O14757_Pocket2Mol_idx-in-all-generaetd-166,793.77
O14757_Pocket2Mol_idx-in-all-generaetd-167,735.75
O14757_Pocket2Mol_idx-in-all-generaetd-168,731.9100000000001
O14757_Pocket2Mol_idx-in-all-generaetd-169,398.99
O14757_Pocket2Mol_idx-in-all-generaetd-170,761.2800000000001
O14757_Pocket2Mol_idx-in-all-generaetd-171,523.1500000000001
O14757_Pocket2Mol_idx-in-all-generaetd-172,409.73
O14757_Pocket2Mol_idx-in-all-generaetd-173,447.5
O14757_Pocket2Mol_idx-in-all-generaetd-174,1117.8600000000001
O14757_Pocket2Mol_idx-in-all-generaetd-175,235.41000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-176,1132.4499999999998
O14757_Pocket2Mol_idx-in-all-generaetd-177,306.67999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-178,329.01
O14757_Pocket2Mol_idx-in-all-generaetd-179,265.53
O14757_Pocket2Mol_idx-in-all-generaetd-180,1366.95
O14757_Pocket2Mol_idx-in-all-generaetd-181,267.88
O14757_Pocket2Mol_idx-in-all-generaetd-182,1251.74
O14757_Pocket2Mol_idx-in-all-generaetd-183,255.37
O14757_Pocket2Mol_idx-in-all-generaetd-184,409.87
O14757_Pocket2Mol_idx-in-all-generaetd-185,544.38
O14757_Pocket2Mol_idx-in-all-generaetd-186,439.25
O14757_Pocket2Mol_idx-in-all-generaetd-187,321.89
O14757_Pocket2Mol_idx-in-all-generaetd-188,481.31
O14757_Pocket2Mol_idx-in-all-generaetd-189,455.29
O14757_Pocket2Mol_idx-in-all-generaetd-190,346.96000000000004
O14757_Pocket2Mol_idx-in-all-generaetd-191,389.18
O14757_Pocket2Mol_idx-in-all-generaetd-192,1170.39
O14757_Pocket2Mol_idx-in-all-generaetd-193,711.02
O14757_Pocket2Mol_idx-in-all-generaetd-194,469.01
O14757_Pocket2Mol_idx-in-all-generaetd-195,259.32
O14757_Pocket2Mol_idx-in-all-generaetd-196,784.4300000000001
O14757_Pocket2Mol_idx-in-all-generaetd-197,735.46
O14757_Pocket2Mol_idx-in-all-generaetd-198,6793.38
O14757_Pocket2Mol_idx-in-all-generaetd-199,314.69
O14757_Pocket2Mol_idx-in-all-generaetd-200,185.55
O14757_Pocket2Mol_idx-in-all-generaetd-201,1427.45
O14757_Pocket2Mol_idx-in-all-generaetd-202,833.3900000000001
O14757_Pocket2Mol_idx-in-all-generaetd-203,550.76
O14757_Pocket2Mol_idx-in-all-generaetd-204,247.89
O14757_Pocket2Mol_idx-in-all-generaetd-205,914.8399999999999
O14757_Pocket2Mol_idx-in-all-generaetd-206,776.6600000000001
O14757_Pocket2Mol_idx-in-all-generaetd-207,1152.73
O14757_Pocket2Mol_idx-in-all-generaetd-208,567.3000000000001
O14757_Pocket2Mol_idx-in-all-generaetd-209,235.45
O14757_Pocket2Mol_idx-in-all-generaetd-210,525.73
O14757_Pocket2Mol_idx-in-all-generaetd-211,1170.6
O14757_Pocket2Mol_idx-in-all-generaetd-212,778.06
O14757_Pocket2Mol_idx-in-all-generaetd-213,264.81
O14757_Pocket2Mol_idx-in-all-generaetd-214,2939.71
O14757_Pocket2Mol_idx-in-all-generaetd-215,535.3
O14757_Pocket2Mol_idx-in-all-generaetd-216,443.42999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-217,347.27000000000004
O14757_Pocket2Mol_idx-in-all-generaetd-218,710.99
O14757_Pocket2Mol_idx-in-all-generaetd-219,882.0999999999999
O14757_Pocket2Mol_idx-in-all-generaetd-220,534.1800000000001
O14757_Pocket2Mol_idx-in-all-generaetd-221,601.87
O14757_Pocket2Mol_idx-in-all-generaetd-222,523.3000000000001
O14757_Pocket2Mol_idx-in-all-generaetd-223,367.28999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-224,879.52
O14757_Pocket2Mol_idx-in-all-generaetd-225,6697.91
O14757_Pocket2Mol_idx-in-all-generaetd-226,1178.91
O14757_Pocket2Mol_idx-in-all-generaetd-227,714.79
O14757_Pocket2Mol_idx-in-all-generaetd-228,267.45000000000005
O14757_Pocket2Mol_idx-in-all-generaetd-229,229.2
O14757_Pocket2Mol_idx-in-all-generaetd-230,176.14000000000001
O14757_Pocket2Mol_idx-in-all-generaetd-231,738.79
O14757_Pocket2Mol_idx-in-all-generaetd-232,956.74
O14757_Pocket2Mol_idx-in-all-generaetd-233,410.78
O14757_Pocket2Mol_idx-in-all-generaetd-234,592.83
O14757_Pocket2Mol_idx-in-all-generaetd-235,710.92
O14757_Pocket2Mol_idx-in-all-generaetd-236,234.99
O14757_Pocket2Mol_idx-in-all-generaetd-237,1234.63
O14757_Pocket2Mol_idx-in-all-generaetd-238,526.1899999999999
O14757_Pocket2Mol_idx-in-all-generaetd-239,286.39
O14757_Pocket2Mol_idx-in-all-generaetd-240,608.56
O14757_Pocket2Mol_idx-in-all-generaetd-241,808.64
O14757_Pocket2Mol_idx-in-all-generaetd-242,377.28
O14757_Pocket2Mol_idx-in-all-generaetd-243,464.09
O14757_Pocket2Mol_idx-in-all-generaetd-244,1234.73
O14757_Pocket2Mol_idx-in-all-generaetd-245,122.87
O14757_Pocket2Mol_idx-in-all-generaetd-246,864.4000000000001
O14757_Pocket2Mol_idx-in-all-generaetd-247,718.0899999999999
O14757_Pocket2Mol_idx-in-all-generaetd-248,266.40000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-249,383.69
O14757_Pocket2Mol_idx-in-all-generaetd-250,3869.42
O14757_Pocket2Mol_idx-in-all-generaetd-251,805.46
O14757_Pocket2Mol_idx-in-all-generaetd-252,204.38
O14757_Pocket2Mol_idx-in-all-generaetd-253,519.69
O14757_Pocket2Mol_idx-in-all-generaetd-254,795.47
O14757_Pocket2Mol_idx-in-all-generaetd-255,3860.2000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-256,280.67999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-257,249.9
O14757_Pocket2Mol_idx-in-all-generaetd-258,245.48000000000002
O14757_Pocket2Mol_idx-in-all-generaetd-259,352.49
O14757_Pocket2Mol_idx-in-all-generaetd-260,347.57
O14757_Pocket2Mol_idx-in-all-generaetd-261,1402.71
O14757_Pocket2Mol_idx-in-all-generaetd-262,474.69999999999993
O14757_Pocket2Mol_idx-in-all-generaetd-263,814.4100000000001
O14757_Pocket2Mol_idx-in-all-generaetd-264,443.65000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-265,748.5899999999999
O14757_Pocket2Mol_idx-in-all-generaetd-266,315.74
O14757_Pocket2Mol_idx-in-all-generaetd-267,374.09999999999997
O14757_Pocket2Mol_idx-in-all-generaetd-268,775.74
O14757_Pocket2Mol_idx-in-all-generaetd-269,340.89
O14757_Pocket2Mol_idx-in-all-generaetd-270,298.47999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-271,886.24
O14757_Pocket2Mol_idx-in-all-generaetd-272,486.78999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-273,847.4200000000001
O14757_Pocket2Mol_idx-in-all-generaetd-274,732.65
O14757_Pocket2Mol_idx-in-all-generaetd-275,517.8
O14757_Pocket2Mol_idx-in-all-generaetd-276,390.56
O14757_Pocket2Mol_idx-in-all-generaetd-277,3817.0299999999997
O14757_Pocket2Mol_idx-in-all-generaetd-278,586.38
O14757_Pocket2Mol_idx-in-all-generaetd-279,604.55
O14757_Pocket2Mol_idx-in-all-generaetd-280,580.37
O14757_Pocket2Mol_idx-in-all-generaetd-281,264.64
O14757_Pocket2Mol_idx-in-all-generaetd-282,508.72
O14757_Pocket2Mol_idx-in-all-generaetd-283,641.77
O14757_Pocket2Mol_idx-in-all-generaetd-284,726.1700000000001
O14757_Pocket2Mol_idx-in-all-generaetd-285,297.03999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-286,6752.64
O14757_Pocket2Mol_idx-in-all-generaetd-287,6734.99
O14757_Pocket2Mol_idx-in-all-generaetd-288,699.31
O14757_Pocket2Mol_idx-in-all-generaetd-289,732.5
O14757_Pocket2Mol_idx-in-all-generaetd-290,1354.3200000000002
O14757_Pocket2Mol_idx-in-all-generaetd-291,822.22
O14757_Pocket2Mol_idx-in-all-generaetd-292,773.1700000000001
O14757_Pocket2Mol_idx-in-all-generaetd-293,14140.230000000001
O14757_Pocket2Mol_idx-in-all-generaetd-294,230.95
O14757_Pocket2Mol_idx-in-all-generaetd-295,642.1800000000001
O14757_Pocket2Mol_idx-in-all-generaetd-296,6735.17
O14757_Pocket2Mol_idx-in-all-generaetd-297,766.6999999999999
O14757_Pocket2Mol_idx-in-all-generaetd-298,471.98
O14757_Pocket2Mol_idx-in-all-generaetd-299,957.54
O14757_Pocket2Mol_idx-in-all-generaetd-300,902.1800000000001
O14757_Pocket2Mol_idx-in-all-generaetd-301,808.43
O14757_Pocket2Mol_idx-in-all-generaetd-302,487.0899999999999
O14757_Pocket2Mol_idx-in-all-generaetd-303,623.04
O14757_Pocket2Mol_idx-in-all-generaetd-304,1175.17
O14757_Pocket2Mol_idx-in-all-generaetd-305,866.94
O14757_Pocket2Mol_idx-in-all-generaetd-306,1354.53
O14757_Pocket2Mol_idx-in-all-generaetd-307,750.4399999999999
O14757_Pocket2Mol_idx-in-all-generaetd-308,792.53
O14757_Pocket2Mol_idx-in-all-generaetd-309,701.49
O14757_Pocket2Mol_idx-in-all-generaetd-310,1084.55
O14757_Pocket2Mol_idx-in-all-generaetd-311,738.06
O14757_Pocket2Mol_idx-in-all-generaetd-312,475.53000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-313,1184.06
O14757_Pocket2Mol_idx-in-all-generaetd-314,920.98
O14757_Pocket2Mol_idx-in-all-generaetd-315,14176.51
O14757_Pocket2Mol_idx-in-all-generaetd-316,730.0899999999999
O14757_Pocket2Mol_idx-in-all-generaetd-317,1150.6100000000001
O14757_Pocket2Mol_idx-in-all-generaetd-318,545.99
O14757_Pocket2Mol_idx-in-all-generaetd-319,440.70000000000005
O14757_Pocket2Mol_idx-in-all-generaetd-320,1251.09
O14757_Pocket2Mol_idx-in-all-generaetd-321,593.6800000000001
O14757_Pocket2Mol_idx-in-all-generaetd-322,412.68
O14757_Pocket2Mol_idx-in-all-generaetd-323,265.69
O14757_Pocket2Mol_idx-in-all-generaetd-324,478.5799999999999
O14757_Pocket2Mol_idx-in-all-generaetd-325,904.4499999999999
O14757_Pocket2Mol_idx-in-all-generaetd-326,769.6099999999999
O14757_Pocket2Mol_idx-in-all-generaetd-327,727.9200000000001
O14757_Pocket2Mol_idx-in-all-generaetd-328,746.46
O14757_Pocket2Mol_idx-in-all-generaetd-329,449.09
O14757_Pocket2Mol_idx-in-all-generaetd-330,540.1400000000001
O14757_Pocket2Mol_idx-in-all-generaetd-331,772.86
O14757_Pocket2Mol_idx-in-all-generaetd-332,1228.8799999999999
O14757_Pocket2Mol_idx-in-all-generaetd-333,1151.0
O14757_Pocket2Mol_idx-in-all-generaetd-334,1156.02
O14757_Pocket2Mol_idx-in-all-generaetd-335,536.25
O14757_Pocket2Mol_idx-in-all-generaetd-336,1178.75
O14757_Pocket2Mol_idx-in-all-generaetd-337,720.03
O14757_Pocket2Mol_idx-in-all-generaetd-338,3879.71
O14757_Pocket2Mol_idx-in-all-generaetd-339,502.21000000000004
O14757_Pocket2Mol_idx-in-all-generaetd-340,522.64
O14757_Pocket2Mol_idx-in-all-generaetd-341,590.19
O14757_Pocket2Mol_idx-in-all-generaetd-342,930.18
O14757_Pocket2Mol_idx-in-all-generaetd-343,628.0699999999999
O14757_Pocket2Mol_idx-in-all-generaetd-344,429.7
O14757_Pocket2Mol_idx-in-all-generaetd-345,261.36
O14757_Pocket2Mol_idx-in-all-generaetd-346,670.18
O14757_Pocket2Mol_idx-in-all-generaetd-347,277.12
O14757_Pocket2Mol_idx-in-all-generaetd-348,745.74
O14757_Pocket2Mol_idx-in-all-generaetd-349,601.83
O14757_Pocket2Mol_idx-in-all-generaetd-350,683.19
O14757_Pocket2Mol_idx-in-all-generaetd-351,262.49
O14757_Pocket2Mol_idx-in-all-generaetd-352,645.6700000000001
O14757_Pocket2Mol_idx-in-all-generaetd-353,517.9300000000001
O14757_Pocket2Mol_idx-in-all-generaetd-354,283.07
O14757_Pocket2Mol_idx-in-all-generaetd-355,236.79999999999998
O14757_Pocket2Mol_idx-in-all-generaetd-356,615.2
O14757_Pocket2Mol_idx-in-all-generaetd-357,425.14
O14757_Pocket2Mol_idx-in-all-generaetd-358,2936.16
O14757_Pocket2Mol_idx-in-all-generaetd-359,1178.25
O14757_Pocket2Mol_idx-in-all-generaetd-360,3911.93
O14757_Pocket2Mol_idx-in-all-generaetd-361,622.88
O14757_Pocket2Mol_idx-in-all-generaetd-362,288.85
O14757_Pocket2Mol_idx-in-all-generaetd-363,373.31
O14757_Pocket2Mol_idx-in-all-generaetd-364,727.8199999999999
O14757_Pocket2Mol_idx-in-all-generaetd-365,296.06
O14757_Pocket2Mol_idx-in-all-generaetd-366,353.64
O14757_Pocket2Mol_idx-in-all-generaetd-367,471.82000000000005
O14757_Pocket2Mol_idx-in-all-generaetd-368,618.18
O14757_Pocket2Mol_idx-in-all-generaetd-369,1172.8
O14757_Pocket2Mol_idx-in-all-generaetd-370,523.78
O14757_Pocket2Mol_idx-in-all-generaetd-371,1147.1799999999998
O14757_Pocket2Mol_idx-in-all-generaetd-372,806.46
O14757_Pocket2Mol_idx-in-all-generaetd-373,523.9300000000001
O14757_Pocket2Mol_idx-in-all-generaetd-374,3900.68
O14757_Pocket2Mol_idx-in-all-generaetd-375,492.28999999999996
O14757_Pocket2Mol_idx-in-all-generaetd-376,732.8199999999999
O14757_Pocket2Mol_idx-in-all-generaetd-377,743.03
O14757_Pocket2Mol_idx-in-all-generaetd-378,227.84000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-379,685.9100000000001
O14757_Pocket2Mol_idx-in-all-generaetd-380,19090.45
O14757_Pocket2Mol_idx-in-all-generaetd-381,3954.13
O14757_Pocket2Mol_idx-in-all-generaetd-382,497.51
O14757_Pocket2Mol_idx-in-all-generaetd-383,315.39
O14757_Pocket2Mol_idx-in-all-generaetd-384,427.81
O14757_Pocket2Mol_idx-in-all-generaetd-385,3859.54
O14757_Pocket2Mol_idx-in-all-generaetd-386,788.76
O14757_Pocket2Mol_idx-in-all-generaetd-387,271.62
O14757_Pocket2Mol_idx-in-all-generaetd-388,1768.8600000000001
O14757_Pocket2Mol_idx-in-all-generaetd-389,1187.58
O14757_Pocket2Mol_idx-in-all-generaetd-390,547.74
O14757_Pocket2Mol_idx-in-all-generaetd-391,519.34
O14757_Pocket2Mol_idx-in-all-generaetd-392,256.34000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-393,727.78
O14757_Pocket2Mol_idx-in-all-generaetd-394,430.84999999999997
O14757_Pocket2Mol_idx-in-all-generaetd-395,786.4499999999999
O14757_Pocket2Mol_idx-in-all-generaetd-396,635.47
O14757_Pocket2Mol_idx-in-all-generaetd-397,14296.550000000001
O14757_Pocket2Mol_idx-in-all-generaetd-398,2173.6
O14757_Pocket2Mol_idx-in-all-generaetd-399,598.5
O14757_Pocket2Mol_idx-in-all-generaetd-400,632.6600000000001
O14757_Pocket2Mol_idx-in-all-generaetd-401,834.0899999999999
O14757_Pocket2Mol_idx-in-all-generaetd-402,237.78000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-403,330.3
O14757_Pocket2Mol_idx-in-all-generaetd-404,619.0200000000001
O14757_Pocket2Mol_idx-in-all-generaetd-405,1073.84
O14757_Pocket2Mol_idx-in-all-generaetd-406,851.1600000000001
O14757_Pocket2Mol_idx-in-all-generaetd-407,927.7299999999999
O14757_Pocket2Mol_idx-in-all-generaetd-408,740.75
O14757_Pocket2Mol_idx-in-all-generaetd-409,790.5
O14757_Pocket2Mol_idx-in-all-generaetd-410,566.01
O14757_Pocket2Mol_idx-in-all-generaetd-411,812.17
O14757_Pocket2Mol_idx-in-all-generaetd-412,606.33
O14757_Pocket2Mol_idx-in-all-generaetd-413,747.07
O14757_Pocket2Mol_idx-in-all-generaetd-414,3932.84
O14757_Pocket2Mol_idx-in-all-generaetd-415,436.40000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-416,306.56
O14757_Pocket2Mol_idx-in-all-generaetd-417,249.71
O14757_Pocket2Mol_idx-in-all-generaetd-418,450.92999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-419,924.4
O14757_Pocket2Mol_idx-in-all-generaetd-420,314.33000000000004
O14757_Pocket2Mol_idx-in-all-generaetd-421,751.54
O14757_Pocket2Mol_idx-in-all-generaetd-422,310.79999999999995
O14757_Pocket2Mol_idx-in-all-generaetd-423,488.78
O14757_Pocket2Mol_idx-in-all-generaetd-424,795.3199999999999
O14757_Pocket2Mol_idx-in-all-generaetd-425,4029.03
O14757_Pocket2Mol_idx-in-all-generaetd-426,703.35
O14757_Pocket2Mol_idx-in-all-generaetd-427,251.22000000000003
O14757_Pocket2Mol_idx-in-all-generaetd-428,633.8699999999999
